"Mã sản phẩm","Tên sản phẩm","Biến thể","Kho hiện tại","Kiểm kho"
2608643025,"Lưỡi cưa gỗ 305x30mm T60 Bosch 2608643025",,5.0000,
2608643026,"Lưỡi cưa gỗ 305x30mmT80 Bosch 2608643026",,2.0000,
2608643027,"Lưỡi cưa gỗ 305x30mmT100 Bosch 2608643027",,2.0000,
2608643060,"Lưỡi cưa thép 305mm Bosch",,1.0000,
2608643066,"Lưỡi cưa đa năng 110x20/16x1.0mm",,10.0000,
2608644305,"Lưỡi cưa gỗ Mới 230x30mm T40",,2.0000,
2608644306,"Lưỡi cưa gỗ Mới 230x30mm T60",,1.0000,
2608644308,"Lưỡi cưa gỗ Mới 250x25.4mm T40",,9.0000,
2608644309,"Lưỡi cưa gỗ Mới 250x25.4mm T60",,2.0000,
2608644314,"Lưỡi cưa nhôm Mới 250x25.4mm T120 ALU",,2.0000,
2608644315,"Lưỡi cưa gỗ Mới 110x20mm T30",,8.0000,
2608644316,"Lưỡi cưa gỗ BOSCH 110x20mm T40",,3.0000,
2608644317,"Lưỡi cưa gỗ Mới 180x25.4mm T40",,4.0000,
2608644318,"Lưỡi cưa gỗ Mới 180x25.4mm T60",,5.0000,
2608644319,"Lưỡi cưa gỗ Mới 110x20mm T40 đa năng",,3.0000,
2608650678,"Lưỡi cưa kiếm S 1111 K-Gỗ (bộ 5 lưỡi)",,3.0000,
2608656014,"Lưỡi cưa kiếm S 922 BF-Sắt (bộ 5 lưỡi)",,2.0000,
2608656019,"Lưỡi cưa kiếm BOSCH S 1122 BF-Sắt (bộ 5 lưỡi)",,2.0000,
2608663751,"Lưỡi cưa lọng T 308 B -Gỗ (bộ 5 lưỡi)",,1.0000,
2608663868,"Lưỡi cưa lọng T 308 BOSCH -Gỗ (bộ 5 lưỡi)",,1.0000,
2608680262,"Mũi khoan SDS+ plus 1 (6x50/110mm)",,5.0000,
2608680263,"Mũi khoan SDS+ plus 1 (6x100/160mm)",,5.0000,
2608680264,"Mũi khoan SDS+ plus 1 (6x150/210mm)",,1.0000,
2608680269,"Mũi khoan SDS+ plus 1 (8x50/110mm)",,5.0000,
2608680270,"Mũi khoan SDS+ plus 1 (8x100/160mm)",,20.0000,
2608680271,"Mũi khoan SDS+ plus 1 (8x150/210mm)",,1.0000,
2608680272,"Mũi khoan SDS+ plus 1 (8x200/260mm)",,2.0000,
2608680273,"Mũi khoan SDS+ plus 1 (10x100/160mm)",,1.0000,
2608680274,"Mũi khoan SDS+ plus 1 (10x150/210mm)",,9.0000,
2608680275,"Mũi khoan SDS+ plus 1 (10x200/260mm)",,1.0000,
2608680277,"Mũi khoan SDS+ plus 1 (12x100/160mm)",,3.0000,
2608680278,"Mũi khoan SDS+ plus 1 (12x150/210mm)",,4.0000,
2608680279,"Mũi khoan SDS+ plus 1 (12x200/260mm)",,2.0000,
2608680282,"Mũi khoan SDS+ plus 1 (14x150/210mm)",,2.0000,
